Name,PD Notation
13a_1,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 14; 6; 15]; [13; 6; 14; 7]; [15; 11; 16; 10]; [11; 20; 12; 21]; [19; 12; 20; 13]; [21; 17; 22; 16]; [17; 24; 18; 25]; [23; 18; 24; 19]; [25; 23; 26; 22]]
13a_2,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 14; 6; 15]; [13; 6; 14; 7]; [15; 11; 16; 10]; [11; 19; 12; 18]; [19; 13; 20; 12]; [23; 17; 24; 16]; [17; 23; 18; 22]; [25; 20; 26; 21]; [21; 24; 22; 25]]
13a_3,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 14; 6; 15]; [13; 6; 14; 7]; [15; 11; 16; 10]; [11; 20; 12; 21]; [19; 12; 20; 13]; [23; 16; 24; 17]; [17; 24; 18; 25]; [21; 19; 22; 18]; [25; 22; 26; 23]]
13a_4,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 14; 6; 15]; [13; 6; 14; 7]; [15; 11; 16; 10]; [11; 21; 12; 20]; [21; 13; 22; 12]; [23; 17; 24; 16]; [17; 25; 18; 24]; [25; 19; 26; 18]; [19; 23; 20; 22]]
13a_5,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 14; 6; 15]; [13; 6; 14; 7]; [15; 11; 16; 10]; [11; 21; 12; 20]; [21; 13; 22; 12]; [25; 17; 26; 16]; [17; 25; 18; 24]; [23; 19; 24; 18]; [19; 23; 20; 22]]
13a_6,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [17; 10; 18; 11]; [11; 18; 12; 19]; [19; 14; 20; 15]; [15; 22; 16; 23]; [23; 16; 24; 17]; [25; 20; 26; 21]; [21; 24; 22; 25]]
13a_7,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [17; 11; 18; 10]; [11; 17; 12; 16]; [21; 14; 22; 15]; [15; 20; 16; 21]; [23; 18; 24; 19]; [19; 24; 20; 25]; [25; 22; 26; 23]]
13a_8,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [17; 11; 18; 10]; [11; 17; 12; 16]; [21; 15; 22; 14]; [15; 23; 16; 22]; [23; 19; 24; 18]; [19; 25; 20; 24]; [25; 21; 26; 20]]
13a_9,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [17; 11; 18; 10]; [11; 17; 12; 16]; [21; 15; 22; 14]; [15; 23; 16; 22]; [25; 19; 26; 18]; [19; 25; 20; 24]; [23; 21; 24; 20]]
13a_10,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [17; 10; 18; 11]; [11; 18; 12; 19]; [23; 14; 24; 15]; [15; 22; 16; 23]; [19; 16; 20; 17]; [25; 21; 26; 20]; [21; 25; 22; 24]]
13a_11,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 14; 6; 15]; [13; 6; 14; 7]; [17; 11; 18; 10]; [11; 24; 12; 25]; [19; 12; 20; 13]; [15; 23; 16; 22]; [21; 17; 22; 16]; [25; 19; 26; 18]; [23; 20; 24; 21]]
13a_12,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 14; 6; 15]; [13; 6; 14; 7]; [17; 11; 18; 10]; [11; 21; 12; 20]; [23; 13; 24; 12]; [15; 23; 16; 22]; [21; 17; 22; 16]; [25; 19; 26; 18]; [19; 25; 20; 24]]
13a_13,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 11; 20; 10]; [11; 19; 12; 18]; [21; 14; 22; 15]; [15; 25; 16; 24]; [23; 17; 24; 16]; [17; 20; 18; 21]; [25; 22; 26; 23]]
13a_14,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 11; 20; 10]; [11; 19; 12; 18]; [21; 15; 22; 14]; [15; 23; 16; 22]; [23; 17; 24; 16]; [17; 25; 18; 24]; [25; 21; 26; 20]]
13a_15,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 11; 20; 10]; [11; 19; 12; 18]; [21; 15; 22; 14]; [15; 25; 16; 24]; [23; 17; 24; 16]; [17; 23; 18; 22]; [25; 21; 26; 20]]
13a_16,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 10; 20; 11]; [11; 20; 12; 21]; [21; 14; 22; 15]; [15; 22; 16; 23]; [23; 16; 24; 17]; [17; 24; 18; 25]; [25; 18; 26; 19]]
13a_17,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 10; 20; 11]; [11; 20; 12; 21]; [21; 14; 22; 15]; [15; 24; 16; 25]; [23; 16; 24; 17]; [17; 22; 18; 23]; [25; 18; 26; 19]]
13a_18,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 11; 20; 10]; [11; 19; 12; 18]; [23; 15; 24; 14]; [15; 25; 16; 24]; [21; 16; 22; 17]; [17; 20; 18; 21]; [25; 23; 26; 22]]
13a_19,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 10; 20; 11]; [11; 20; 12; 21]; [23; 14; 24; 15]; [15; 24; 16; 25]; [25; 16; 26; 17]; [17; 22; 18; 23]; [21; 18; 22; 19]]
13a_20,[[3; 1; 4; 26]; [1; 8; 2; 9]; [7; 2; 8; 3]; [9; 5; 10; 4]; [5; 13; 6; 12]; [13; 7; 14; 6]; [19; 10; 20; 11]; [11; 20; 12; 21]; [25; 14; 26; 15]; [15; 24; 16; 25]; [23; 16; 24; 17]; [17; 22; 18; 23]; [21; 18; 22; 19]]
