Name,fibered,lambda,seifert_genus,ranks,total_rank,L_space_knot,epsilon,modulus,nu,tau
K13a1,True,4,4,"{(-4, -4): 1, (-3, -3): 9, (-2, -2): 35, (-1, -1): 76, (0, 0): 99, (1, 1): 76, (2, 2): 35, (3, 3): 9, (4, 4): 1}",341,False,0,2,0,0
K13a2,True,3,4,"{(-4, -5): 1, (-3, -4): 9, (-2, -3): 33, (-1, -2): 66, (0, -1): 81, (1, 0): 66, (2, 1): 33, (3, 2): 9, (4, 3): 1}",299,False,1,2,1,1
K13a3,True,5,4,"{(-4, -3): 1, (-3, -2): 9, (-2, -1): 35, (-1, 0): 76, (0, 1): 97, (1, 2): 76, (2, 3): 35, (3, 4): 9, (4, 5): 1}",339,False,-1,2,0,-1
K13a4,False,NaN,4,"{(-4, -6): 2, (-3, -5): 13, (-2, -4): 37, (-1, -3): 61, (0, -2): 71, (1, -1): 61, (2, 0): 37, (3, 1): 13, (4, 2): 2}",297,False,1,2,2,2
K13a5,False,NaN,3,"{(-3, -4): 3, (-2, -3): 19, (-1, -2): 50, (0, -1): 67, (1, 0): 50, (2, 1): 19, (3, 2): 3}",211,False,1,2,1,1
K13a6,False,NaN,4,"{(-4, -3): 2, (-3, -2): 12, (-2, -1): 36, (-1, 0): 70, (0, 1): 87, (1, 2): 70, (2, 3): 36, (3, 4): 12, (4, 5): 2}",327,False,-1,2,0,-1
K13a7,True,4,4,"{(-4, -4): 1, (-3, -3): 10, (-2, -2): 38, (-1, -1): 77, (0, 0): 97, (1, 1): 77, (2, 2): 38, (3, 3): 10, (4, 4): 1}",349,False,0,2,0,0
K13a8,False,NaN,4,"{(-4, -7): 3, (-3, -6): 16, (-2, -5): 37, (-1, -4): 56, (0, -3): 63, (1, -2): 56, (2, -1): 37, (3, 0): 16, (4, 1): 3}",287,False,1,2,3,3
K13a9,False,NaN,3,"{(-3, -5): 5, (-2, -4): 27, (-1, -3): 60, (0, -2): 77, (1, -1): 60, (2, 0): 27, (3, 1): 5}",261,False,1,2,2,2
K13a10,True,4,4,"{(-4, -4): 1, (-3, -3): 9, (-2, -2): 33, (-1, -1): 68, (0, 0): 87, (1, 1): 68, (2, 2): 33, (3, 3): 9, (4, 4): 1}",309,False,0,2,0,0
K13a11,True,4,4,"{(-4, -4): 1, (-3, -3): 10, (-2, -2): 42, (-1, -1): 95, (0, 0): 125, (1, 1): 95, (2, 2): 42, (3, 3): 10, (4, 4): 1}",421,False,0,2,0,0
K13a12,False,NaN,3,"{(-3, -4): 5, (-2, -3): 33, (-1, -2): 89, (0, -1): 121, (1, 0): 89, (2, 1): 33, (3, 2): 5}",375,False,1,2,1,1
K13a13,True,3,4,"{(-4, -5): 1, (-3, -4): 9, (-2, -3): 35, (-1, -2): 74, (0, -1): 93, (1, 0): 74, (2, 1): 35, (3, 2): 9, (4, 3): 1}",331,False,1,2,1,1
K13a14,False,NaN,4,"{(-4, -7): 3, (-3, -6): 15, (-2, -5): 32, (-1, -4): 46, (0, -3): 51, (1, -2): 46, (2, -1): 32, (3, 0): 15, (4, 1): 3}",243,False,1,2,3,3
K13a15,False,NaN,3,"{(-3, -5): 6, (-2, -4): 32, (-1, -3): 70, (0, -2): 89, (1, -1): 70, (2, 0): 32, (3, 1): 6}",305,False,1,2,2,2
K13a16,True,7,5,"{(-5, -3): 1, (-4, -2): 5, (-3, -1): 13, (-2, 0): 24, (-1, 1): 30, (0, 2): 31, (1, 3): 30, (2, 4): 24, (3, 5): 13, (4, 6): 5, (5, 7): 1}",177,False,-1,2,-1,-2
K13a17,False,NaN,4,"{(-4, -3): 2, (-3, -2): 11, (-2, -1): 31, (-1, 0): 60, (0, 1): 75, (1, 2): 60, (2, 3): 31, (3, 4): 11, (4, 5): 2}",283,False,-1,2,0,-1
K13a18,True,2,4,"{(-4, -6): 1, (-3, -5): 9, (-2, -4): 31, (-1, -3): 58, (0, -2): 71, (1, -1): 58, (2, 0): 31, (3, 1): 9, (4, 2): 1}",269,False,1,2,2,2
K13a19,False,NaN,4,"{(-4, -3): 2, (-3, -2): 11, (-2, -1): 29, (-1, 0): 51, (0, 1): 61, (1, 2): 51, (2, 3): 29, (3, 4): 11, (4, 5): 2}",247,False,-1,2,0,-1
K13a20,False,NaN,3,"{(-3, -3): 3, (-2, -2): 15, (-1, -1): 32, (0, 0): 41, (1, 1): 32, (2, 2): 15, (3, 3): 3}",141,False,0,2,0,0
K13a21,False,NaN,3,"{(-3, -3): 3, (-2, -2): 23, (-1, -1): 69, (0, 0): 99, (1, 1): 69, (2, 2): 23, (3, 3): 3}",289,False,0,2,0,0
K13a22,True,4,4,"{(-4, -4): 1, (-3, -3): 9, (-2, -2): 35, (-1, -1): 74, (0, 0): 95, (1, 1): 74, (2, 2): 35, (3, 3): 9, (4, 4): 1}",333,False,0,2,0,0
K13a23,True,5,4,"{(-4, -3): 1, (-3, -2): 10, (-2, -1): 42, (-1, 0): 95, (0, 1): 123, (1, 2): 95, (2, 3): 42, (3, 4): 10, (4, 5): 1}",419,False,-1,2,0,-1
K13a24,True,4,4,"{(-4, -4): 1, (-3, -3): 10, (-2, -2): 42, (-1, -1): 95, (0, 0): 125, (1, 1): 95, (2, 2): 42, (3, 3): 10, (4, 4): 1}",421,False,0,2,0,0
K13a25,True,5,4,"{(-4, -3): 1, (-3, -2): 9, (-2, -1): 33, (-1, 0): 64, (0, 1): 77, (1, 2): 64, (2, 3): 33, (3, 4): 9, (4, 5): 1}",291,False,-1,2,0,-1
K13a26,False,NaN,3,"{(-3, -3): 2, (-2, -2): 16, (-1, -1): 50, (0, 0): 73, (1, 1): 50, (2, 2): 16, (3, 3): 2}",209,False,0,2,0,0
K13a27,True,5,4,"{(-4, -3): 1, (-3, -2): 10, (-2, -1): 42, (-1, 0): 95, (0, 1): 123, (1, 2): 95, (2, 3): 42, (3, 4): 10, (4, 5): 1}",419,False,-1,2,0,-1
K13a28,True,4,4,"{(-4, -4): 1, (-3, -3): 10, (-2, -2): 38, (-1, -1): 77, (0, 0): 97, (1, 1): 77, (2, 2): 38, (3, 3): 10, (4, 4): 1}",349,False,0,2,0,0
K13a29,False,NaN,4,"{(-4, -7): 3, (-3, -6): 16, (-2, -5): 37, (-1, -4): 56, (0, -3): 63, (1, -2): 56, (2, -1): 37, (3, 0): 16, (4, 1): 3}",287,False,1,2,3,3
K13a30,True,4,4,"{(-4, -4): 1, (-3, -3): 9, (-2, -2): 37, (-1, -1): 86, (0, 0): 115, (1, 1): 86, (2, 2): 37, (3, 3): 9, (4, 4): 1}",381,False,0,2,0,0
K13a31,True,4,4,"{(-4, -4): 1, (-3, -3): 9, (-2, -2): 36, (-1, -1): 81, (0, 0): 107, (1, 1): 81, (2, 2): 36, (3, 3): 9, (4, 4): 1}",361,False,0,2,0,0
K13a32,False,NaN,4,"{(-4, -6): 2, (-3, -5): 12, (-2, -4): 31, (-1, -3): 47, (0, -2): 53, (1, -1): 47, (2, 0): 31, (3, 1): 12, (4, 2): 2}",237,False,1,2,2,2
K13a33,True,4,4,"{(-4, -4): 1, (-3, -3): 9, (-2, -2): 34, (-1, -1): 71, (0, 0): 91, (1, 1): 71, (2, 2): 34, (3, 3): 9, (4, 4): 1}",321,False,0,2,0,0
K13a34,False,NaN,4,"{(-4, -5): 2, (-3, -4): 13, (-2, -3): 39, (-1, -2): 73, (0, -1): 89, (1, 0): 73, (2, 1): 39, (3, 2): 13, (4, 3): 2}",343,False,1,2,1,1
K13a35,False,NaN,4,"{(-4, -6): 2, (-3, -5): 13, (-2, -4): 35, (-1, -3): 57, (0, -2): 67, (1, -1): 57, (2, 0): 35, (3, 1): 13, (4, 2): 2}",281,False,1,2,2,2
K13a36,False,NaN,3,"{(-3, -4): 4, (-2, -3): 25, (-1, -2): 61, (0, -1): 79, (1, 0): 61, (2, 1): 25, (3, 2): 4}",259,False,1,2,1,1
K13a37,False,NaN,4,"{(-4, -3): 2, (-3, -2): 12, (-2, -1): 35, (-1, 0): 65, (0, 1): 79, (1, 2): 65, (2, 3): 35, (3, 4): 12, (4, 5): 2}",307,False,-1,2,0,-1
K13a38,True,4,4,"{(-4, -4): 1, (-3, -3): 9, (-2, -2): 34, (-1, -1): 73, (0, 0): 95, (1, 1): 73, (2, 2): 34, (3, 3): 9, (4, 4): 1}",329,False,0,2,0,0
K13a39,True,3,4,"{(-4, -5): 1, (-3, -4): 9, (-2, -3): 34, (-1, -2): 71, (0, -1): 89, (1, 0): 71, (2, 1): 34, (3, 2): 9, (4, 3): 1}",319,False,1,2,1,1
K13a40,False,NaN,4,"{(-4, -6): 2, (-3, -5): 12, (-2, -4): 31, (-1, -3): 46, (0, -2): 51, (1, -1): 46, (2, 0): 31, (3, 1): 12, (4, 2): 2}",233,False,1,2,2,2
K13a41,False,NaN,3,"{(-3, -4): 4, (-2, -3): 25, (-1, -2): 65, (0, -1): 87, (1, 0): 65, (2, 1): 25, (3, 2): 4}",275,False,1,2,1,1
K13a42,True,3,4,"{(-4, -5): 1, (-3, -4): 9, (-2, -3): 32, (-1, -2): 61, (0, -1): 73, (1, 0): 61, (2, 1): 32, (3, 2): 9, (4, 3): 1}",279,False,1,2,1,1
K13a43,False,NaN,4,"{(-4, -5): 2, (-3, -4): 16, (-2, -3): 54, (-1, -2): 102, (0, -1): 123, (1, 0): 102, (2, 1): 54, (3, 2): 16, (4, 3): 2}",471,False,1,2,1,1
K13a44,False,NaN,3,"{(-3, -4): 4, (-2, -3): 25, (-1, -2): 64, (0, -1): 85, (1, 0): 64, (2, 1): 25, (3, 2): 4}",271,False,1,2,1,1
