Name,fibered,lambda,seifert_genus,ranks,total_rank,L_space_knot,epsilon,modulus,nu,tau
K10a32,False,NaN,3,"{(-3, -3): 2, (-2, -2): 8, (-1, -1): 15, (0, 0): 19, (1, 1): 15, (2, 2): 8, (3, 3): 2}",69,False,0,2,0,0
K10a33,False,NaN,2,"{(-2, -2): 4, (-1, -1): 16, (0, 0): 25, (1, 1): 16, (2, 2): 4}",65,False,0,2,0,0
K10a34,False,NaN,2,"{(-2, -2): 3, (-1, -1): 9, (0, 0): 13, (1, 1): 9, (2, 2): 3}",37,False,0,2,0,0
K10a35,False,NaN,2,"{(-2, -2): 2, (-1, -1): 12, (0, 0): 21, (1, 1): 12, (2, 2): 2}",49,False,0,2,0,0
K10a36,False,NaN,2,"{(-2, -3): 3, (-1, -2): 13, (0, -1): 19, (1, 0): 13, (2, 1): 3}",51,False,1,2,1,1
K10a37,False,NaN,2,"{(-2, -2): 4, (-1, -1): 13, (0, 0): 19, (1, 1): 13, (2, 2): 4}",53,False,0,2,0,0
K10a38,False,NaN,2,"{(-2, -3): 4, (-1, -2): 15, (0, -1): 21, (1, 0): 15, (2, 1): 4}",59,False,1,2,1,1
K10a39,False,NaN,3,"{(-3, -5): 2, (-2, -4): 8, (-1, -3): 13, (0, -2): 15, (1, -1): 13, (2, 0): 8, (3, 1): 2}",61,False,1,2,2,2
K10a40,False,NaN,3,"{(-3, -2): 2, (-2, -1): 8, (-1, 0): 17, (0, 1): 21, (1, 2): 17, (2, 3): 8, (3, 4): 2}",75,False,-1,2,0,-1
K10a41,True,2,3,"{(-3, -4): 1, (-2, -3): 7, (-1, -2): 17, (0, -1): 21, (1, 0): 17, (2, 1): 7, (3, 2): 1}",71,False,1,2,1,1
K10a42,True,3,3,"{(-3, -3): 1, (-2, -2): 7, (-1, -1): 19, (0, 0): 27, (1, 1): 19, (2, 2): 7, (3, 3): 1}",81,False,0,2,0,0
K10a43,True,3,3,"{(-3, -3): 1, (-2, -2): 7, (-1, -1): 17, (0, 0): 23, (1, 1): 17, (2, 2): 7, (3, 3): 1}",73,False,0,2,0,0
K10a44,True,2,3,"{(-3, -4): 1, (-2, -3): 7, (-1, -2): 19, (0, -1): 25, (1, 0): 19, (2, 1): 7, (3, 2): 1}",79,False,1,2,1,1
K10a45,True,3,3,"{(-3, -3): 1, (-2, -2): 7, (-1, -1): 21, (0, 0): 31, (1, 1): 21, (2, 2): 7, (3, 3): 1}",89,False,0,2,0,0
K10a46,True,1,4,"{(-4, -7): 1, (-3, -6): 3, (-2, -5): 4, (-1, -4): 5, (0, -3): 5, (1, -2): 5, (2, -1): 4, (3, 0): 3, (4, 1): 1}",31,False,1,2,3,3
K10a47,True,6,4,"{(-4, -2): 1, (-3, -1): 3, (-2, 0): 6, (-1, 1): 7, (0, 2): 7, (1, 3): 7, (2, 4): 6, (3, 5): 3, (4, 6): 1}",41,False,-1,2,-1,-2
K10a48,True,4,4,"{(-4, -4): 1, (-3, -3): 3, (-2, -2): 6, (-1, -1): 9, (0, 0): 11, (1, 1): 9, (2, 2): 6, (3, 3): 3, (4, 4): 1}",49,False,0,2,0,0
K10a49,False,NaN,3,"{(-3, -6): 3, (-2, -5): 8, (-1, -4): 12, (0, -3): 13, (1, -2): 12, (2, -1): 8, (3, 0): 3}",59,False,1,2,3,3
K10a50,False,NaN,3,"{(-3, -5): 2, (-2, -4): 7, (-1, -3): 11, (0, -2): 13, (1, -1): 11, (2, 0): 7, (3, 1): 2}",53,False,1,2,2,2
K10a51,False,NaN,3,"{(-3, -2): 2, (-2, -1): 7, (-1, 0): 15, (0, 1): 19, (1, 2): 15, (2, 3): 7, (3, 4): 2}",67,False,-1,2,0,-1
K10a52,False,NaN,3,"{(-3, -4): 2, (-2, -3): 7, (-1, -2): 13, (0, -1): 15, (1, 0): 13, (2, 1): 7, (3, 2): 2}",59,False,1,2,1,1
K10a53,False,NaN,2,"{(-2, -4): 6, (-1, -3): 18, (0, -2): 25, (1, -1): 18, (2, 0): 6}",73,False,1,2,2,2
K10a54,False,NaN,3,"{(-3, -2): 2, (-2, -1): 6, (-1, 0): 10, (0, 1): 11, (1, 2): 10, (2, 3): 6, (3, 4): 2}",47,False,-1,2,0,-1
K10a55,False,NaN,2,"{(-2, -4): 5, (-1, -3): 15, (0, -2): 21, (1, -1): 15, (2, 0): 5}",61,False,1,2,2,2
K10a56,False,NaN,3,"{(-3, -5): 2, (-2, -4): 8, (-1, -3): 14, (0, -2): 17, (1, -1): 14, (2, 0): 8, (3, 1): 2}",65,False,1,2,2,2
K10a57,False,NaN,3,"{(-3, -2): 2, (-2, -1): 8, (-1, 0): 18, (0, 1): 23, (1, 2): 18, (2, 3): 8, (3, 4): 2}",79,False,-1,2,0,-1
K10a58,False,NaN,2,"{(-2, -2): 3, (-1, -1): 16, (0, 0): 27, (1, 1): 16, (2, 2): 3}",65,False,0,2,0,0
K10a59,True,2,3,"{(-3, -4): 1, (-2, -3): 7, (-1, -2): 18, (0, -1): 23, (1, 0): 18, (2, 1): 7, (3, 2): 1}",75,False,1,2,1,1
K10a60,True,3,3,"{(-3, -3): 1, (-2, -2): 7, (-1, -1): 20, (0, 0): 29, (1, 1): 20, (2, 2): 7, (3, 3): 1}",85,False,0,2,0,0
K10a61,False,NaN,3,"{(-3, -5): 2, (-2, -4): 5, (-1, -3): 6, (0, -2): 7, (1, -1): 6, (2, 0): 5, (3, 1): 2}",33,False,1,2,2,2
K10a62,True,6,4,"{(-4, -2): 1, (-3, -1): 3, (-2, 0): 6, (-1, 1): 8, (0, 2): 9, (1, 3): 8, (2, 4): 6, (3, 5): 3, (4, 6): 1}",45,False,-1,2,-1,-2
K10a63,False,NaN,2,"{(-2, -4): 5, (-1, -3): 14, (0, -2): 19, (1, -1): 14, (2, 0): 5}",57,False,1,2,2,2
K10a64,True,3,4,"{(-4, -5): 1, (-3, -4): 3, (-2, -3): 6, (-1, -2): 10, (0, -1): 11, (1, 0): 10, (2, 1): 6, (3, 2): 3, (4, 3): 1}",51,False,1,2,1,1
K10a65,False,NaN,3,"{(-3, -2): 2, (-2, -1): 7, (-1, 0): 14, (0, 1): 17, (1, 2): 14, (2, 3): 7, (3, 4): 2}",63,False,-1,2,0,-1
K10a66,False,NaN,3,"{(-3, -6): 3, (-2, -5): 9, (-1, -4): 16, (0, -3): 19, (1, -2): 16, (2, -1): 9, (3, 0): 3}",75,False,1,2,3,3
K10a67,False,NaN,2,"{(-2, -3): 4, (-1, -2): 16, (0, -1): 23, (1, 0): 16, (2, 1): 4}",63,False,1,2,1,1
K10a68,False,NaN,2,"{(-2, -2): 4, (-1, -1): 14, (0, 0): 21, (1, 1): 14, (2, 2): 4}",57,False,0,2,0,0
K10a69,True,4,3,"{(-3, -2): 1, (-2, -1): 7, (-1, 0): 21, (0, 1): 29, (1, 2): 21, (2, 3): 7, (3, 4): 1}",87,False,-1,2,0,-1
K10a70,True,4,3,"{(-3, -2): 1, (-2, -1): 7, (-1, 0): 16, (0, 1): 19, (1, 2): 16, (2, 3): 7, (3, 4): 1}",67,False,-1,2,0,-1
K10a71,True,3,3,"{(-3, -3): 1, (-2, -2): 7, (-1, -1): 18, (0, 0): 25, (1, 1): 18, (2, 2): 7, (3, 3): 1}",77,False,0,2,0,0
K10a72,False,NaN,3,"{(-3, -5): 2, (-2, -4): 9, (-1, -3): 16, (0, -2): 19, (1, -1): 16, (2, 0): 9, (3, 1): 2}",73,False,1,2,2,2
K10a73,True,4,3,"{(-3, -2): 1, (-2, -1): 7, (-1, 0): 20, (0, 1): 27, (1, 2): 20, (2, 3): 7, (3, 4): 1}",83,False,-1,2,0,-1
K10a74,False,NaN,2,"{(-2, -3): 4, (-1, -2): 16, (0, -1): 23, (1, 0): 16, (2, 1): 4}",63,False,1,2,1,1
K10a75,True,3,3,"{(-3, -3): 1, (-2, -2): 7, (-1, -1): 19, (0, 0): 27, (1, 1): 19, (2, 2): 7, (3, 3): 1}",81,False,0,2,0,0
K10a76,False,NaN,3,"{(-3, -5): 2, (-2, -4): 7, (-1, -3): 12, (0, -2): 15, (1, -1): 12, (2, 0): 7, (3, 1): 2}",57,False,1,2,2,2
K10a77,False,NaN,3,"{(-3, -2): 2, (-2, -1): 7, (-1, 0): 14, (0, 1): 17, (1, 2): 14, (2, 3): 7, (3, 4): 2}",63,False,-1,2,0,-1
K10a78,True,1,3,"{(-3, -5): 1, (-2, -4): 7, (-1, -3): 16, (0, -2): 21, (1, -1): 16, (2, 0): 7, (3, 1): 1}",69,False,1,2,2,2
K10a79,True,4,4,"{(-4, -4): 1, (-3, -3): 3, (-2, -2): 7, (-1, -1): 12, (0, 0): 15, (1, 1): 12, (2, 2): 7, (3, 3): 3, (4, 4): 1}",61,False,0,2,0,0
K10a80,False,NaN,3,"{(-3, -6): 3, (-2, -5): 9, (-1, -4): 15, (0, -3): 17, (1, -2): 15, (2, -1): 9, (3, 0): 3}",71,False,1,2,3,3
K10a81,True,3,3,"{(-3, -3): 1, (-2, -2): 8, (-1, -1): 20, (0, 0): 27, (1, 1): 20, (2, 2): 8, (3, 3): 1}",85,False,0,2,0,0
K10a82,True,3,4,"{(-4, -5): 1, (-3, -4): 4, (-2, -3): 8, (-1, -2): 12, (0, -1): 13, (1, 0): 12, (2, 1): 8, (3, 2): 4, (4, 3): 1}",63,False,1,2,1,1
K10a83,False,NaN,3,"{(-3, -2): 2, (-2, -1): 9, (-1, 0): 19, (0, 1): 23, (1, 2): 19, (2, 3): 9, (3, 4): 2}",83,False,-1,2,0,-1
K10a84,False,NaN,3,"{(-3, -4): 2, (-2, -3): 9, (-1, -2): 20, (0, -1): 25, (1, 0): 20, (2, 1): 9, (3, 2): 2}",87,False,1,2,1,1
K10a85,True,6,4,"{(-4, -2): 1, (-3, -1): 4, (-2, 0): 8, (-1, 1): 10, (0, 2): 11, (1, 3): 10, (2, 4): 8, (3, 5): 4, (4, 6): 1}",57,False,-1,2,-1,-2
K10a86,False,NaN,3,"{(-3, -3): 2, (-2, -2): 9, (-1, -1): 19, (0, 0): 25, (1, 1): 19, (2, 2): 9, (3, 3): 2}",85,False,0,2,0,0
K10a87,False,NaN,3,"{(-3, -3): 2, (-2, -2): 9, (-1, -1): 18, (0, 0): 23, (1, 1): 18, (2, 2): 9, (3, 3): 2}",81,False,0,2,0,0
K10a88,True,3,3,"{(-3, -3): 1, (-2, -2): 8, (-1, -1): 24, (0, 0): 35, (1, 1): 24, (2, 2): 8, (3, 3): 1}",101,False,0,2,0,0
K10a89,True,4,3,"{(-3, -2): 1, (-2, -1): 8, (-1, 0): 24, (0, 1): 33, (1, 2): 24, (2, 3): 8, (3, 4): 1}",99,False,-1,2,0,-1
K10a90,False,NaN,3,"{(-3, -3): 2, (-2, -2): 8, (-1, -1): 17, (0, 0): 23, (1, 1): 17, (2, 2): 8, (3, 3): 2}",77,False,0,2,0,0
K10a91,True,4,4,"{(-4, -4): 1, (-3, -3): 4, (-2, -2): 9, (-1, -1): 14, (0, 0): 17, (1, 1): 14, (2, 2): 9, (3, 3): 4, (4, 4): 1}",73,False,0,2,0,0
K10a92,False,NaN,3,"{(-3, -5): 2, (-2, -4): 10, (-1, -3): 20, (0, -2): 25, (1, -1): 20, (2, 0): 10, (3, 1): 2}",89,False,1,2,2,2
K10a93,False,NaN,3,"{(-3, -2): 2, (-2, -1): 8, (-1, 0): 15, (0, 1): 17, (1, 2): 15, (2, 3): 8, (3, 4): 2}",67,False,-1,2,0,-1
K10a94,True,3,4,"{(-4, -5): 1, (-3, -4): 4, (-2, -3): 9, (-1, -2): 14, (0, -1): 15, (1, 0): 14, (2, 1): 9, (3, 2): 4, (4, 3): 1}",71,False,1,2,1,1
K10a95,False,NaN,3,"{(-3, -2): 2, (-2, -1): 9, (-1, 0): 21, (0, 1): 27, (1, 2): 21, (2, 3): 9, (3, 4): 2}",91,False,-1,2,0,-1
K10a96,True,3,3,"{(-3, -3): 1, (-2, -2): 7, (-1, -1): 22, (0, 0): 33, (1, 1): 22, (2, 2): 7, (3, 3): 1}",93,False,0,2,0,0
K10a97,False,NaN,2,"{(-2, -3): 5, (-1, -2): 22, (0, -1): 33, (1, 0): 22, (2, 1): 5}",87,False,1,2,1,1
K10a98,False,NaN,3,"{(-3, -5): 2, (-2, -4): 9, (-1, -3): 18, (0, -2): 23, (1, -1): 18, (2, 0): 9, (3, 1): 2}",81,False,1,2,2,2
K10a99,True,4,4,"{(-4, -4): 1, (-3, -3): 4, (-2, -2): 10, (-1, -1): 16, (0, 0): 19, (1, 1): 16, (2, 2): 10, (3, 3): 4, (4, 4): 1}",81,False,0,2,0,0
K10a100,True,6,4,"{(-4, -2): 1, (-3, -1): 4, (-2, 0): 9, (-1, 1): 12, (0, 2): 13, (1, 3): 12, (2, 4): 9, (3, 5): 4, (4, 6): 1}",65,False,-1,2,-1,-2
K10a101,False,NaN,2,"{(-2, -4): 7, (-1, -3): 21, (0, -2): 29, (1, -1): 21, (2, 0): 7}",85,False,1,2,2,2
K10a102,False,NaN,3,"{(-3, -3): 2, (-2, -2): 8, (-1, -1): 16, (0, 0): 21, (1, 1): 16, (2, 2): 8, (3, 3): 2}",73,False,0,2,0,0
K10a103,False,NaN,3,"{(-3, -2): 2, (-2, -1): 8, (-1, 0): 17, (0, 1): 21, (1, 2): 17, (2, 3): 8, (3, 4): 2}",75,False,-1,2,0,-1
K10a104,True,4,4,"{(-4, -4): 1, (-3, -3): 4, (-2, -2): 9, (-1, -1): 15, (0, 0): 19, (1, 1): 15, (2, 2): 9, (3, 3): 4, (4, 4): 1}",77,False,0,2,0,0
K10a105,True,2,3,"{(-3, -4): 1, (-2, -3): 8, (-1, -2): 22, (0, -1): 29, (1, 0): 22, (2, 1): 8, (3, 2): 1}",91,False,1,2,1,1
K10a106,True,3,4,"{(-4, -5): 1, (-3, -4): 4, (-2, -3): 9, (-1, -2): 15, (0, -1): 17, (1, 0): 15, (2, 1): 9, (3, 2): 4, (4, 3): 1}",75,False,1,2,1,1
K10a107,True,3,3,"{(-3, -3): 1, (-2, -2): 8, (-1, -1): 22, (0, 0): 31, (1, 1): 22, (2, 2): 8, (3, 3): 1}",93,False,0,2,0,0
K10a108,False,NaN,3,"{(-3, -4): 2, (-2, -3): 8, (-1, -2): 14, (0, -1): 15, (1, 0): 14, (2, 1): 8, (3, 2): 2}",63,False,1,2,1,1
K10a109,True,4,4,"{(-4, -4): 1, (-3, -3): 4, (-2, -2): 10, (-1, -1): 17, (0, 0): 21, (1, 1): 17, (2, 2): 10, (3, 3): 4, (4, 4): 1}",85,False,0,2,0,0
K10a110,True,2,3,"{(-3, -4): 1, (-2, -3): 8, (-1, -2): 20, (0, -1): 25, (1, 0): 20, (2, 1): 8, (3, 2): 1}",83,False,1,2,1,1
K10a111,False,NaN,3,"{(-3, -5): 2, (-2, -4): 9, (-1, -3): 17, (0, -2): 21, (1, -1): 17, (2, 0): 9, (3, 1): 2}",77,False,1,2,2,2
K10a112,True,5,4,"{(-4, -3): 1, (-3, -2): 5, (-2, -1): 11, (-1, 0): 17, (0, 1): 19, (1, 2): 17, (2, 3): 11, (3, 4): 5, (4, 5): 1}",87,False,-1,2,0,-1
K10a113,False,NaN,3,"{(-3, -4): 2, (-2, -3): 11, (-1, -2): 26, (0, -1): 33, (1, 0): 26, (2, 1): 11, (3, 2): 2}",111,False,1,2,1,1
K10a114,False,NaN,3,"{(-3, -3): 2, (-2, -2): 10, (-1, -1): 21, (0, 0): 27, (1, 1): 21, (2, 2): 10, (3, 3): 2}",93,False,0,2,0,0
K10a115,True,3,3,"{(-3, -3): 1, (-2, -2): 9, (-1, -1): 26, (0, 0): 37, (1, 1): 26, (2, 2): 9, (3, 3): 1}",109,False,0,2,0,0
K10a116,True,5,4,"{(-4, -3): 1, (-3, -2): 5, (-2, -1): 12, (-1, 0): 19, (0, 1): 21, (1, 2): 19, (2, 3): 12, (3, 4): 5, (4, 5): 1}",95,False,-1,2,0,-1
K10a117,False,NaN,3,"{(-3, -2): 2, (-2, -1): 10, (-1, 0): 24, (0, 1): 31, (1, 2): 24, (2, 3): 10, (3, 4): 2}",103,False,-1,2,0,-1
K10a118,True,4,4,"{(-4, -4): 1, (-3, -3): 5, (-2, -2): 12, (-1, -1): 19, (0, 0): 23, (1, 1): 19, (2, 2): 12, (3, 3): 5, (4, 4): 1}",97,False,0,2,0,0
K10a119,False,NaN,3,"{(-3, -3): 2, (-2, -2): 10, (-1, -1): 23, (0, 0): 31, (1, 1): 23, (2, 2): 10, (3, 3): 2}",101,False,0,2,0,0
K10a120,False,NaN,2,"{(-2, -4): 8, (-1, -3): 26, (0, -2): 37, (1, -1): 26, (2, 0): 8}",105,False,1,2,2,2
K10a121,False,NaN,3,"{(-3, -4): 2, (-2, -3): 11, (-1, -2): 27, (0, -1): 35, (1, 0): 27, (2, 1): 11, (3, 2): 2}",115,False,1,2,1,1
K10a122,False,NaN,3,"{(-3, -3): 2, (-2, -2): 11, (-1, -1): 24, (0, 0): 31, (1, 1): 24, (2, 2): 11, (3, 3): 2}",105,False,0,2,0,0
K10a123,True,4,4,"{(-4, -4): 1, (-3, -3): 6, (-2, -2): 15, (-1, -1): 24, (0, 0): 29, (1, 1): 24, (2, 2): 15, (3, 3): 6, (4, 4): 1}",121,False,0,2,0,0
K10n1,True,0,4,"{(-4, -8): 1, (-3, -7): 1, (-1, -4): 1, (0, -3): 1, (1, -2): 1, (3, -1): 1, (4, 0): 1}",7,True,1,2,4,4
K10n2,True,4,3,"{(-3, -2): 1, (-2, -1): 2, (-1, 0): 2, (0, 1): 1, (1, 2): 2, (2, 3): 2, (3, 4): 1}",11,False,-1,2,0,-1
K10n3,True,4,3,"{(-3, -2): 1, (-2, -1): 2, (-1, 0): 4, (0, 1): 5, (1, 2): 4, (2, 3): 2, (3, 4): 1}",19,False,-1,2,0,-1
K10n4,True,1,3,"{(-3, -5): 1, (-2, -4): 4, (-1, -3): 6, (0, -2): 7, (1, -1): 6, (2, 0): 4, (3, 1): 1}",29,False,1,2,2,2
K10n5,False,NaN,3,"{(-3, -6): 2, (-2, -5): 3, (-1, -4): 1, (0, -2): 1, (1, -2): 1, (2, -1): 3, (3, 0): 2}",13,False,1,2,3,3
K10n6,False,NaN,2,"{(-2, -2): 2, (-1, -1): 6, (0, 0): 9, (1, 1): 6, (2, 2): 2}",25,False,0,2,0,0
K10n7,False,NaN,2,"{(-2, -2): 2, (-1, -1): 4, (0, 0): 5, (1, 1): 4, (2, 2): 2}",17,False,0,2,0,0
K10n8,False,NaN,2,"{(-2, -3): 2, (-1, -2): 8, (0, -1): 11, (1, 0): 8, (2, 1): 2}",31,False,1,2,1,1
K10n9,True,2,2,"{(-2, -2): 1, (-1, -1): 2, (-1, 0): 1, (0, 0): 2, (0, 1): 1, (1, 1): 2, (1, 2): 1, (2, 2): 1}",11,False,-1,2,0,-1
K10n10,True,1,2,"{(-2, -3): 1, (-1, -2): 5, (0, -1): 7, (1, 0): 5, (2, 1): 1}",19,False,1,2,1,1
K10n11,False,NaN,3,"{(-3, -6): 2, (-2, -5): 4, (-1, -4): 4, (0, -3): 3, (1, -2): 4, (2, -1): 4, (3, 0): 2}",23,False,1,2,3,3
K10n12,False,NaN,2,"{(-2, -2): 3, (-1, -1): 9, (0, 0): 13, (1, 1): 9, (2, 2): 3}",37,False,0,2,0,0
K10n13,True,3,2,"{(-2, -1): 1, (-1, 0): 4, (0, 0): 1, (0, 1): 6, (1, 2): 4, (2, 3): 1}",17,False,0,2,0,0
K10n14,True,2,2,"{(-2, -2): 1, (-1, -1): 6, (0, 0): 11, (1, 1): 6, (2, 2): 1}",25,False,0,2,0,0
K10n15,True,2,3,"{(-3, -4): 1, (-2, -3): 5, (-1, -2): 8, (0, -1): 7, (1, 0): 8, (2, 1): 5, (3, 2): 1}",35,False,1,2,1,1
K10n16,True,0,4,"{(-4, -8): 1, (-3, -7): 1, (-1, -4): 2, (0, -3): 3, (1, -2): 2, (3, -1): 1, (4, 0): 1}",11,False,1,2,4,4
K10n17,True,2,2,"{(-2, -2): 1, (-1, -1): 2, (0, 0): 3, (1, 1): 2, (2, 2): 1}",9,False,0,2,0,0
K10n18,True,3,3,"{(-3, -3): 1, (-2, -2): 3, (-1, -1): 4, (0, 0): 5, (1, 1): 4, (2, 2): 3, (3, 3): 1}",21,False,0,2,0,0
K10n19,False,NaN,3,"{(-3, -6): 2, (-2, -5): 3, (-1, -4): 2, (0, -3): 1, (1, -2): 2, (2, -1): 3, (3, 0): 2}",15,False,1,2,3,3
K10n20,True,4,3,"{(-3, -2): 1, (-2, -1): 3, (-1, 0): 6, (0, 1): 7, (1, 2): 6, (2, 3): 3, (3, 4): 1}",27,False,-1,2,0,-1
K10n21,False,NaN,2,"{(-2, -3): 3, (-1, -2): 10, (0, -1): 13, (1, 0): 10, (2, 1): 3}",39,False,1,2,1,1
K10n22,True,4,2,"{(-2, 0): 1, (-1, 0): 2, (-1, 1): 1, (0, 1): 4, (0, 2): 1, (1, 2): 2, (1, 3): 1, (2, 4): 1}",13,False,-1,2,-1,-2
K10n23,False,NaN,2,"{(-2, -2): 2, (-1, -1): 8, (0, 0): 13, (1, 1): 8, (2, 2): 2}",33,False,0,2,0,0
K10n24,False,NaN,2,"{(-2, -3): 2, (-1, -2): 7, (0, -1): 9, (1, 0): 7, (2, 1): 2}",27,False,1,2,1,1
K10n25,True,4,3,"{(-3, -2): 1, (-2, -1): 3, (-1, 0): 7, (0, 1): 9, (1, 2): 7, (2, 3): 3, (3, 4): 1}",31,False,-1,2,0,-1
K10n26,True,1,3,"{(-3, -5): 1, (-2, -4): 5, (-1, -3): 9, (0, -2): 11, (1, -1): 9, (2, 0): 5, (3, 1): 1}",41,False,1,2,2,2
K10n27,True,1,3,"{(-3, -5): 1, (-2, -4): 4, (-1, -3): 6, (0, -2): 7, (1, -1): 6, (2, 0): 4, (3, 1): 1}",29,False,1,2,2,2
K10n28,True,4,3,"{(-3, -2): 1, (-2, -1): 4, (-1, 0): 10, (0, 1): 13, (1, 2): 10, (2, 3): 4, (3, 4): 1}",43,False,-1,2,0,-1
K10n29,True,0,4,"{(-4, -8): 1, (-3, -7): 1, (-2, -5): 1, (-1, -4): 4, (0, -3): 5, (1, -2): 4, (2, -1): 1, (3, -1): 1, (4, 0): 1}",19,False,1,2,4,4
