Name,fibered,lambda,seifert_genus,ranks,total_rank,L_space_knot,epsilon,modulus,nu,tau
K10a1,False,NaN,1,"{(-1, -1): 4, (0, 0): 9, (1, 1): 4}",17,False,0,2,0,0
K10a2,True,1,4,"{(-4, -7): 1, (-3, -6): 3, (-2, -5): 3, (-1, -4): 3, (0, -3): 3, (1, -2): 3, (2, -1): 3, (3, 0): 3, (4, 1): 1}",23,False,1,2,3,3
K10a3,False,NaN,1,"{(-1, -1): 6, (0, 0): 13, (1, 1): 6}",25,False,0,2,0,0
K10a4,False,NaN,2,"{(-2, -1): 3, (-1, 0): 7, (0, 1): 7, (1, 2): 7, (2, 3): 3}",27,False,-1,2,0,-1
K10a5,True,6,4,"{(-4, -2): 1, (-3, -1): 3, (-2, 0): 5, (-1, 1): 5, (0, 2): 5, (1, 3): 5, (2, 4): 5, (3, 5): 3, (4, 6): 1}",33,False,-1,2,-1,-2
K10a6,False,NaN,3,"{(-3, -5): 2, (-2, -4): 6, (-1, -3): 7, (0, -2): 7, (1, -1): 7, (2, 0): 6, (3, 1): 2}",37,False,1,2,2,2
K10a7,False,NaN,2,"{(-2, -3): 3, (-1, -2): 11, (0, -1): 15, (1, 0): 11, (2, 1): 3}",43,False,1,2,1,1
K10a8,False,NaN,3,"{(-3, -5): 2, (-2, -4): 5, (-1, -3): 5, (0, -2): 5, (1, -1): 5, (2, 0): 5, (3, 1): 2}",29,False,1,2,2,2
K10a9,True,3,4,"{(-4, -5): 1, (-3, -4): 3, (-2, -3): 5, (-1, -2): 7, (0, -1): 7, (1, 0): 7, (2, 1): 5, (3, 2): 3, (4, 3): 1}",39,False,1,2,1,1
K10a10,False,NaN,2,"{(-2, -2): 3, (-1, -1): 11, (0, 0): 17, (1, 1): 11, (2, 2): 3}",45,False,0,2,0,0
K10a11,False,NaN,2,"{(-2, -3): 4, (-1, -2): 11, (0, -1): 13, (1, 0): 11, (2, 1): 4}",43,False,1,2,1,1
K10a12,False,NaN,3,"{(-3, -2): 2, (-2, -1): 6, (-1, 0): 10, (0, 1): 11, (1, 2): 10, (2, 3): 6, (3, 4): 2}",47,False,-1,2,0,-1
K10a13,False,NaN,2,"{(-2, -2): 2, (-1, -1): 13, (0, 0): 23, (1, 1): 13, (2, 2): 2}",53,False,0,2,0,0
K10a14,False,NaN,3,"{(-3, -5): 2, (-2, -4): 8, (-1, -3): 12, (0, -2): 13, (1, -1): 12, (2, 0): 8, (3, 1): 2}",57,False,1,2,2,2
K10a15,False,NaN,3,"{(-3, -2): 2, (-2, -1): 6, (-1, 0): 9, (0, 1): 9, (1, 2): 9, (2, 3): 6, (3, 4): 2}",43,False,-1,2,0,-1
K10a16,False,NaN,2,"{(-2, -3): 4, (-1, -2): 12, (0, -1): 15, (1, 0): 12, (2, 1): 4}",47,False,1,2,1,1
K10a17,True,4,4,"{(-4, -4): 1, (-3, -3): 3, (-2, -2): 5, (-1, -1): 7, (0, 0): 9, (1, 1): 7, (2, 2): 5, (3, 3): 3, (4, 4): 1}",41,False,0,2,0,0
K10a18,False,NaN,2,"{(-2, -3): 4, (-1, -2): 14, (0, -1): 19, (1, 0): 14, (2, 1): 4}",55,False,1,2,1,1
K10a19,False,NaN,3,"{(-3, -4): 2, (-2, -3): 7, (-1, -2): 11, (0, -1): 11, (1, 0): 11, (2, 1): 7, (3, 2): 2}",51,False,1,2,1,1
K10a20,False,NaN,2,"{(-2, -3): 3, (-1, -2): 9, (0, -1): 11, (1, 0): 9, (2, 1): 3}",35,False,1,2,1,1
K10a21,False,NaN,3,"{(-3, -5): 2, (-2, -4): 7, (-1, -3): 9, (0, -2): 9, (1, -1): 9, (2, 0): 7, (3, 1): 2}",45,False,1,2,2,2
K10a22,False,NaN,3,"{(-3, -3): 2, (-2, -2): 6, (-1, -1): 10, (0, 0): 13, (1, 1): 10, (2, 2): 6, (3, 3): 2}",49,False,0,2,0,0
K10a23,False,NaN,3,"{(-3, -2): 2, (-2, -1): 7, (-1, 0): 13, (0, 1): 15, (1, 2): 13, (2, 3): 7, (3, 4): 2}",59,False,-1,2,0,-1
K10a24,False,NaN,2,"{(-2, -3): 4, (-1, -2): 14, (0, -1): 19, (1, 0): 14, (2, 1): 4}",55,False,1,2,1,1
K10a25,False,NaN,3,"{(-3, -5): 2, (-2, -4): 8, (-1, -3): 14, (0, -2): 17, (1, -1): 14, (2, 0): 8, (3, 1): 2}",65,False,1,2,2,2
K10a26,False,NaN,3,"{(-3, -3): 2, (-2, -2): 7, (-1, -1): 13, (0, 0): 17, (1, 1): 13, (2, 2): 7, (3, 3): 2}",61,False,0,2,0,0
K10a27,False,NaN,3,"{(-3, -2): 2, (-2, -1): 8, (-1, 0): 16, (0, 1): 19, (1, 2): 16, (2, 3): 8, (3, 4): 2}",71,False,-1,2,0,-1
K10a28,False,NaN,2,"{(-2, -2): 4, (-1, -1): 13, (0, 0): 19, (1, 1): 13, (2, 2): 4}",53,False,0,2,0,0
K10a29,True,2,3,"{(-3, -4): 1, (-2, -3): 7, (-1, -2): 15, (0, -1): 17, (1, 0): 15, (2, 1): 7, (3, 2): 1}",63,False,1,2,1,1
K10a30,False,NaN,2,"{(-2, -3): 4, (-1, -2): 17, (0, -1): 25, (1, 0): 17, (2, 1): 4}",67,False,1,2,1,1
K10a31,False,NaN,2,"{(-2, -2): 4, (-1, -1): 14, (0, 0): 21, (1, 1): 14, (2, 2): 4}",57,False,0,2,0,0
